TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME
500002,20240802,7756.85,7770.75,7553.00,7579.65,3268
500003,20240802,768.85,769.80,732.00,735.60,45278
500008,20240802,1575.15,1621.10,1575.15,1611.40,32360
500009,20240802,68.70,69.90,68.00,69.05,255599
500012,20240802,107.65,108.40,104.05,107.45,183211
500013,20240802,9.84,10.14,9.60,10.04,81066
500014,20240802,7.98,7.98,7.65,7.81,37145
500016,20240802,12.16,12.45,12.16,12.37,22066
500020,20240802,219.95,228.20,218.50,223.65,93629
500023,20240802,202.50,202.50,195.05,198.95,36
500027,20240802,7750.00,7900.80,7733.10,7794.95,1318
500028,20240802,34.36,34.36,33.02,33.02,76525
500031,20240802,984.45,1009.85,984.45,993.50,1230
500032,20240802,41.80,43.20,41.25,42.63,2374385
500033,20240802,9001.15,9138.45,8942.55,9057.30,2287
500034,20240802,6710.05,6750.00,6675.00,6725.25,55489
500038,20240802,480.00,491.80,476.60,481.95,147044
500039,20240802,717.10,752.95,717.10,728.90,9952
500040,20240802,2275.00,2285.20,2237.45,2249.80,9881
500041,20240802,3155.00,3163.45,3140.00,3148.90,557
500042,20240802,6100.00,6166.35,5964.45,6022.95,1446
500043,20240802,1621.95,1628.60,1597.40,1620.30,8384
500048,20240802,4501.00,4513.35,4425.00,4435.35,27702
500049,20240802,304.20,308.65,301.70,302.95,2548627
500052,20240802,145.00,150.00,141.15,146.85,168579
500058,20240802,18.50,19.18,17.55,19.18,371571
500059,20240802,16.79,17.20,15.71,15.80,15756
500060,20240802,299.55,303.50,292.45,296.15,18134
500067,20240802,1736.35,1746.35,1706.60,1714.90,6186
500068,20240802,20181.00,20199.95,19640.00,19930.20,84
500069,20240802,399.00,399.00,383.50,391.20,9340
500074,20240802,123.95,127.90,120.00,125.10,24059
500078,20240802,449.00,468.45,448.95,459.40,4965
500083,20240802,26.99,27.34,26.05,26.98,106437
500084,20240802,180.00,181.70,176.30,179.60,395182
500085,20240802,518.90,538.25,511.35,525.30,244961
500086,20240802,509.80,520.00,502.30,509.15,349114
500087,20240802,1536.80,1540.75,1524.00,1528.80,21746
500089,20240802,592.25,608.10,586.15,595.75,6398
500092,20240802,4301.00,4344.00,4272.30,4314.35,1194
500093,20240802,723.90,748.40,705.40,732.95,114744
500096,20240802,648.85,649.95,625.85,627.30,145413
500097,20240802,402.00,402.00,393.00,396.10,4474
500101,20240802,378.95,378.95,366.45,370.90,44415
500103,20240802,302.45,309.70,300.60,301.70,734625
500104,20240802,391.25,398.40,383.55,389.85,313153
500106,20240802,81.89,83.25,80.06,81.93,2044565
500108,20240802,75.13,75.13,75.13,75.13,130601
500109,20240802,217.10,219.50,213.30,217.90,225053
500110,20240802,1009.15,1018.95,1000.40,1002.65,40476
500112,20240802,856.20,859.95,846.60,847.90,1047656
500113,20240802,146.80,148.20,145.10,146.30,2764776
500114,20240802,3400.30,3477.85,3400.30,3463.15,179386
500116,20240802,99.35,102.75,97.50,100.65,1941163
500117,20240802,67.04,71.85,67.04,69.95,205281
500119,20240802,211.40,213.95,209.70,210.60,65245
500120,20240802,555.30,601.30,555.30,580.90,2822
500123,20240802,12450.00,12574.95,12220.00,12238.05,608
500124,20240802,6885.00,6981.80,6868.70,6960.00,14126
500125,20240802,800.65,800.65,758.85,767.10,53956
500126,20240802,5318.60,5325.50,5285.15,5299.70,216
500128,20240802,207.05,221.20,202.45,215.15,594008
500133,20240802,6181.20,6337.40,6181.20,6254.95,170
500135,20240802,217.55,222.70,215.55,220.45,71348
500136,20240802,153.60,153.60,142.65,144.35,24845
500142,20240802,8.80,8.80,8.73,8.73,2507
500143,20240802,216.00,216.00,216.00,216.00,951
500144,20240802,1522.00,1539.85,1499.00,1534.85,4844
500147,20240802,5199.70,5400.00,4915.65,5369.75,11835
500148,20240802,580.10,596.95,580.00,583.55,12967
500150,20240802,4656.40,5064.55,4656.40,5003.75,3784
500151,20240802,41.31,41.95,41.31,41.84,1156
500153,20240802,163.95,175.50,163.95,172.40,26983
500159,20240802,154.00,156.00,150.00,152.05,4197
500160,20240802,13.54,14.25,13.10,14.08,267877
500163,20240802,4208.05,4315.90,4165.50,4185.90,6660
500164,20240802,955.50,956.40,917.10,922.10,73161
500165,20240802,295.00,307.10,295.00,302.60,46060
500166,20240802,189.00,193.85,185.05,189.05,4657
500168,20240802,1240.00,1240.00,1198.50,1219.00,26193
500170,20240802,35.50,37.60,35.50,36.36,8942
500171,20240802,563.25,661.65,562.65,628.60,566813
500173,20240802,77.95,78.50,77.30,77.81,3309
500174,20240802,7.31,7.35,7.31,7.35,1350
500179,20240802,17.15,17.15,16.72,16.92,89564
500180,20240802,1631.00,1670.10,1631.00,1659.55,1602856
500182,20240802,5321.00,5373.00,5236.60,5272.25,7773
500183,20240802,131.85,135.80,130.00,132.75,1877331
500184,20240802,444.50,469.75,435.65,467.20,197186
500185,20240802,51.13,53.39,51.13,52.39,3912228
500186,20240802,283.30,293.60,279.00,286.00,306750
500187,20240802,765.05,779.90,760.95,767.90,18694
500188,20240802,640.80,664.35,632.05,651.85,57988
500189,20240802,111.90,111.90,104.50,107.55,11826
500191,20240802,98.00,99.00,94.31,97.56,86438
500192,20240802,2.77,3.10,2.77,3.07,23653
500193,20240802,21.30,22.01,21.30,21.59,98627
500199,20240802,609.65,633.00,602.15,617.75,2505
500201,20240802,1191.00,1265.80,1190.85,1251.55,16675
500202,20240802,9.90,9.98,9.30,9.30,1269
500206,20240802,46.80,49.14,46.25,46.25,625
500207,20240802,47.01,48.15,46.74,46.94,28902
500209,20240802,1843.95,1860.00,1816.20,1821.40,577170
500210,20240802,4410.00,4410.00,4281.05,4293.35,374
500213,20240802,624.35,629.65,618.05,619.40,2156
500214,20240802,702.70,710.65,695.00,706.10,20434
500215,20240802,880.35,908.00,876.15,886.90,9213
500219,20240802,68.99,70.90,68.10,70.11,297165
500220,20240802,164.00,171.00,164.00,169.90,4661
500227,20240802,837.85,839.80,816.25,820.70,8006
500228,20240802,929.85,929.85,896.00,899.85,280240
500231,20240802,129.85,130.30,125.20,128.80,8078
500233,20240802,1460.00,1471.65,1453.00,1460.70,2289
500234,20240802,235.10,237.45,234.10,234.40,722
500235,20240802,875.85,884.40,859.40,880.10,2753
500236,20240802,1.50,1.50,1.43,1.50,8176
500238,20240802,2066.60,2143.00,2066.60,2133.20,8148
500239,20240802,29.00,29.00,27.00,27.70,5218
500240,20240802,190.00,192.50,184.00,191.05,10915
500241,20240802,2355.90,2401.95,2211.00,2239.70,11876
500243,20240802,5930.00,5940.00,5760.00,5778.85,443
500245,20240802,750.00,769.00,747.25,759.35,61742
500246,20240802,184.80,193.65,175.60,176.25,1079
500247,20240802,1775.10,1810.15,1775.10,1804.00,362836
500248,20240802,4.00,4.15,4.00,4.15,5887
500249,20240802,980.00,980.00,943.95,947.05,11793
500250,20240802,1393.75,1393.75,1355.25,1361.45,4332
500251,20240802,5739.80,5806.95,5525.00,5536.55,22314
500252,20240802,15299.80,15307.75,15080.70,15243.00,939
500253,20240802,755.00,760.65,742.30,748.45,84605
500257,20240802,1940.00,1983.00,1940.00,1960.50,95496
500259,20240802,116.50,123.55,116.35,120.85,15160
500260,20240802,814.25,840.60,813.60,828.35,209205
500262,20240802,13.30,13.30,12.04,13.30,81995
500264,20240802,206.00,214.70,189.50,196.30,189322
500265,20240802,640.00,649.30,634.15,639.50,12226
500266,20240802,9116.00,9116.00,8928.60,8942.05,588
500267,20240802,358.95,358.95,345.20,352.85,10304
500268,20240802,97.80,98.18,94.73,95.58,95451
500270,20240802,177.40,181.85,177.40,180.30,3985
500271,20240802,1095.80,1111.10,1082.00,1104.65,4385
500277,20240802,10.52,10.73,10.52,10.70,792
500279,20240802,21.70,22.75,21.50,21.62,132458
500280,20240802,569.00,578.25,565.00,574.80,2410
500282,20240802,65.70,65.70,65.70,65.70,2
500284,20240802,136.00,136.30,132.60,133.95,10660
500285,20240802,54.75,55.13,53.70,54.37,1418011
500288,20240802,59.67,63.00,58.48,62.65,2492288
500290,20240802,140266.15,140586.10,138151.40,138373.70,337
500292,20240802,229.00,229.00,225.55,227.50,10609
500294,20240802,340.50,350.70,333.85,344.00,499922
500295,20240802,441.95,441.95,432.60,434.05,1017154
500296,20240802,349.00,360.40,346.95,353.60,16159
500298,20240802,1111.00,1126.90,1089.55,1100.50,2689
500300,20240802,2721.00,2756.25,2701.90,2707.55,7697
500302,20240802,995.15,1064.00,995.15,1037.45,123456
500304,20240802,116.00,129.00,116.00,124.75,341408
500306,20240802,92.78,94.50,92.00,93.18,28030
500307,20240802,423.30,427.00,421.65,424.25,13337
500312,20240802,336.10,337.10,328.80,330.15,1618996
500313,20240802,46.75,46.75,46.74,46.74,21328
500314,20240802,137.05,140.50,135.65,137.00,21278
500317,20240802,47.00,47.99,45.21,47.66,36104
500319,20240802,113.70,113.70,109.75,110.00,5567
500322,20240802,206.35,206.35,206.35,206.35,764
500325,20240802,3000.40,3018.35,2985.80,2998.45,612462
500327,20240802,12.99,13.40,12.88,13.02,28167
500330,20240802,1980.00,1994.75,1965.00,1979.90,344523
500331,20240802,3123.45,3154.00,3111.05,3133.70,8241
500333,20240802,1551.30,1574.85,1510.00,1534.75,4823
500335,20240802,1545.10,1545.10,1506.35,1510.55,5792
500336,20240802,595.60,610.00,593.95,599.25,7237
500337,20240802,252.05,257.60,249.90,256.70,1416
500338,20240802,163.00,166.55,160.25,164.20,14066
500339,20240802,170.35,174.40,166.40,170.25,128812
500342,20240802,21.13,22.80,21.13,21.68,3092
500343,20240802,57.00,57.00,54.85,54.99,11549
500346,20240802,68.16,68.16,66.60,67.56,9728
500350,20240802,249.90,258.95,247.85,250.35,22881
500354,20240802,77.00,78.90,74.45,77.76,34871
500355,20240802,331.20,340.85,324.70,339.90,33836
500356,20240802,20.61,21.03,19.70,20.83,19378
500357,20240802,14.38,15.09,14.01,15.09,14591
500360,20240802,172.95,176.25,165.00,175.80,34476
500365,20240802,46.00,47.80,46.00,47.16,439831
500366,20240802,4.15,4.19,4.09,4.12,223549
500367,20240802,93.00,95.10,88.05,91.82,273490
500368,20240802,1686.80,1712.05,1686.80,1705.30,9103
500370,20240802,60.00,60.86,59.19,59.94,12119
500378,20240802,644.80,663.45,636.40,650.10,70595
500380,20240802,852.05,854.05,833.70,848.50,21730
500387,20240802,27555.60,27783.65,26901.00,27219.45,413
500388,20240802,51.30,51.30,51.30,51.30,2
500390,20240802,209.60,219.50,209.60,214.65,685879
500400,20240802,460.80,470.85,452.55,460.30,1334883
500402,20240802,178.25,188.40,178.25,186.05,8945
500403,20240802,1394.05,1417.35,1384.10,1394.45,1716
500404,20240802,260.15,266.15,257.00,258.60,65821
500405,20240802,857.00,867.25,845.60,853.10,1770
500407,20240802,2990.35,3053.05,2985.00,3001.55,2455
500408,20240802,6940.25,6942.95,6892.95,6913.50,2228
500410,20240802,2488.00,2488.00,2433.00,2436.10,37805
500411,20240802,5150.90,5193.25,4955.95,4989.75,2748
500412,20240802,331.10,344.00,328.25,335.40,51341
500413,20240802,220.35,239.00,218.05,221.60,411042
500414,20240802,151.00,157.85,150.15,156.05,156564
500418,20240802,116.90,119.75,116.00,116.10,5737
500420,20240802,3160.10,3270.90,3160.10,3227.35,7931
500421,20240802,22.59,22.59,21.71,22.21,6318
500422,20240802,40.10,41.72,39.00,41.47,11829
500425,20240802,662.95,663.00,648.65,650.85,103796
500426,20240802,3.67,3.67,3.67,3.67,24206
500429,20240802,164.70,167.50,161.90,162.90,5655
500439,20240802,4050.00,4092.35,3950.05,3988.90,125
500440,20240802,660.20,665.30,646.80,648.30,177091
500444,20240802,629.40,631.90,617.50,630.10,10690
500449,20240802,54.50,57.60,53.05,55.91,268526
500450,20240802,528.05,537.55,506.00,506.00,17
500456,20240802,41.40,41.40,39.45,39.97,17932
500458,20240802,7.30,7.30,6.94,6.94,2268
500459,20240802,17076.95,17337.45,16700.00,17200.85,293
500460,20240802,175.50,180.00,172.30,178.75,32661
500463,20240802,518.95,557.35,507.00,557.35,35266
500464,20240802,164.60,164.60,162.00,162.80,2394
500467,20240802,255.85,255.85,241.25,246.00,3877
500469,20240802,198.40,200.25,197.10,197.65,146279
500470,20240802,162.00,162.00,154.60,158.20,3888501
500472,20240802,5724.00,5724.00,5555.00,5569.40,1377
500477,20240802,242.45,253.25,242.45,250.15,569437
500480,20240802,3752.00,3752.00,3472.00,3507.15,83275
500483,20240802,1970.15,1989.00,1930.45,1951.55,10746
500488,20240802,28000.05,28686.20,28000.05,28248.90,335
500490,20240802,9360.05,9561.95,9360.00,9421.10,1908
500493,20240802,1682.65,1705.00,1648.00,1655.10,106271
500495,20240802,4145.90,4145.90,3895.00,3905.05,14618
500500,20240802,35.96,37.43,34.90,36.89,279226
500510,20240802,3739.65,3746.45,3654.35,3666.35,264134
500520,20240802,2805.05,2809.90,2733.65,2748.75,306876
500530,20240802,34799.85,34799.85,33800.00,33897.10,358
500547,20240802,345.10,350.90,340.00,347.00,828046
500550,20240802,6850.20,6972.35,6801.00,6879.05,16716
500570,20240802,1119.00,1119.00,1090.05,1096.90,2016375
500575,20240802,1534.85,1534.85,1480.70,1489.45,25469
500620,20240802,1349.90,1358.65,1322.00,1333.05,52424
500645,20240802,925.55,978.95,920.00,961.70,260353
500650,20240802,1275.00,1391.35,1275.00,1353.70,5666
500655,20240802,2456.00,2560.45,2440.10,2508.95,10100
500660,20240802,2760.85,2859.95,2715.35,2824.45,6458
500670,20240802,690.20,702.95,676.50,679.50,80841
500672,20240802,1144.00,1153.50,1120.50,1135.60,4700
500674,20240802,6572.00,6636.90,6550.00,6569.20,612
500680,20240802,5575.00,5670.00,5545.60,5659.75,1081
500690,20240802,236.40,240.65,235.15,237.05,128277
500696,20240802,2705.05,2759.00,2681.55,2693.50,248895
500710,20240802,3113.05,3199.95,3071.00,3114.95,3290
500730,20240802,328.40,331.60,317.25,318.30,86453
500770,20240802,1099.90,1100.00,1079.15,1086.85,43374
500777,20240802,97.10,101.85,97.10,100.10,107285
500780,20240802,366.10,382.70,366.10,373.80,14796
500790,20240802,2482.90,2513.70,2466.00,2494.35,81371
500800,20240802,1207.55,1220.90,1190.00,1193.60,43839
500820,20240802,3093.80,3129.00,3059.70,3107.05,51056
500825,20240802,5749.80,5801.10,5636.25,5723.15,9935
500830,20240802,3324.75,3412.30,3324.75,3368.60,5857
500840,20240802,429.00,429.00,416.00,417.35,21034
500850,20240802,629.80,635.25,622.55,628.95,169680
500870,20240802,250.55,266.70,250.20,259.90,636804
500875,20240802,482.40,499.35,482.40,489.30,1919434
500877,20240802,547.55,551.60,535.70,536.80,62538
500878,20240802,2618.35,2680.00,2606.30,2674.00,11230
500890,20240802,98.88,99.07,97.20,97.20,723
500940,20240802,314.00,314.00,308.00,310.65,20635
501148,20240802,489.60,489.60,470.40,470.40,41
501150,20240802,41.70,42.21,40.95,41.26,117650
501242,20240802,15.36,15.36,15.36,15.36,25531
501295,20240802,209.00,210.85,198.15,209.65,44899
501298,20240802,6334.50,6334.50,6334.50,6334.50,3
501301,20240802,6279.90,6279.90,6207.25,6218.10,3732
501311,20240802,9.39,9.39,9.39,9.39,173
501314,20240802,1.38,1.40,1.30,1.38,431591
501343,20240802,41.45,41.45,39.42,39.90,3964
501370,20240802,227.00,239.50,225.00,235.45,3778
501391,20240802,626.60,635.95,615.15,625.10,189
501421,20240802,3777.75,3879.75,3518.50,3816.35,869
501423,20240802,858.40,858.40,829.25,848.15,22439
501425,20240802,2220.00,2260.00,2191.00,2196.15,5363
501430,20240802,1911.05,1959.90,1911.05,1923.45,140
501455,20240802,167.25,170.70,164.70,165.55,97463
501477,20240802,290.00,297.00,277.20,278.00,291
501622,20240802,51.50,51.50,50.47,50.47,265
501700,20240802,12.78,12.78,12.78,12.78,12055
501831,20240802,310.00,310.55,297.25,303.20,4056
501833,20240802,30.45,30.45,30.45,30.45,1448
501848,20240802,90.00,93.42,84.54,92.77,391052
501945,20240802,2.84,2.84,2.84,2.84,22000
502015,20240802,29.15,30.83,29.15,30.12,58778
502090,20240802,246.00,246.30,243.00,244.10,3023
502133,20240802,98.65,98.65,92.20,92.82,6566
502137,20240802,704.70,706.25,690.00,705.30,15003
502157,20240802,925.00,979.80,925.00,956.85,3227
502168,20240802,227.20,232.55,227.20,230.60,5679
502175,20240802,132.00,134.90,131.00,131.70,30928
502180,20240802,101.90,103.55,100.05,103.00,22050
502219,20240802,540.15,554.95,536.35,551.40,49009
502250,20240802,372.05,391.50,372.05,391.00,19
502281,20240802,21.50,21.70,21.00,21.54,76430
502294,20240802,52.12,52.19,51.40,51.40,34
502330,20240802,575.00,577.75,562.00,576.05,9600
502355,20240802,3280.80,3370.00,3279.35,3292.60,7885
502420,20240802,51.00,53.40,51.00,52.36,54783
502445,20240802,40.00,41.00,38.60,38.60,1588
502448,20240802,3.00,3.00,2.97,2.97,135073
502450,20240802,350.95,354.95,348.35,350.10,1826
502587,20240802,74.50,75.89,72.01,73.69,9161
502589,20240802,187.70,187.70,180.00,186.20,132
502820,20240802,107.00,108.85,105.25,106.65,9261
502865,20240802,631.90,631.90,609.95,626.25,1284
502873,20240802,146.35,146.35,136.00,141.30,3347
502893,20240802,91.00,91.47,91.00,91.47,15
502901,20240802,19144.50,19144.50,19144.50,19144.50,47
502933,20240802,241.90,241.90,232.30,232.40,58
502937,20240802,216.30,217.20,213.25,213.95,7871
502958,20240802,6105.00,6395.00,6105.00,6210.10,53
502986,20240802,529.65,540.30,524.35,526.00,13666
503031,20240802,65.89,65.89,63.80,64.21,85619
503092,20240802,33.00,33.01,33.00,33.01,230
503100,20240802,3557.60,3598.55,3437.10,3465.15,14102
503101,20240802,595.00,607.80,586.45,599.35,5999
503127,20240802,5760.75,5760.75,5760.75,5760.75,279
