TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME
NSENIFTY,20240802,24789,24851.9,24686.85,24717.7,345027881
Nifty Next 50,20240802,73621.4,74241.25,73173.45,73328.15,723628855
NSE100,20240802,25833.75,25930.85,25743.8,25771.9,1072933323
NIFTY200,20240802,14040.6,14097.45,13999.1,14012.9,2343556082
NSE500,20240802,23296.1,23395.1,23225.65,23259.45,3092360383
NIFTYMIDCAP50,20240802,16336.9,16419.15,16227.4,16269.15,1024882211
NSEMIDCAP,20240802,57900.6,58247.3,57563.4,57913.65,1270622759
NSESMLCAP100,20240802,18742.9,18942.2,18630.5,18800.6,485355939
Nifty50 Dividend Points,20240802,-,-,-,148.96,-
NIFTYAUTO,20240802,26192.8,26192.8,25678.35,25714.45,63744861
BANKNIFTY,20240802,51172.25,51608.7,51087.85,51350.15,162974928
NIFTYENERGY,20240802,44481.75,44703.4,44092.65,44334.25,158245524
NIFTYFINSERVICE,20240802,23254.2,23476.85,23238.25,23365.9,105305862
NIFTYFMGC,20240802,61659.05,62639.55,61632.85,61745.15,38998534
NSEIT,20240802,40346.55,40632.25,39662.65,39730.3,24241535
NIFTYMEDIA,20240802,2091.3,2132.05,2083.95,2100.3,54432745
NIFTYMETAL,20240802,9440.35,9448.3,9301.5,9314.55,161600204
NIFTYMNC,20240802,30895.55,30955.05,30578.2,30612.05,41591835
NIFTYPHARMA,20240802,21620.4,22005.1,21528.65,21902.85,23537250
NIFTYPSUBANK,20240802,7259.4,7260,7154.75,7197.5,166873794
NIFTYREALTY,20240802,1063.55,1067.3,1034.45,1037.15,10313243
NIFTYCONSUMPTION,20240802,11757.6,11867.65,11738.05,11748.45,484490042
NIFTYCOMMODITIES,20240802,9605.75,9632.45,9514.7,9525.7,303760003
Nifty Dividend Opportunities 50,20240802,6751.05,6776.3,6698,6704.65,565776595
NIFTYINFRA,20240802,9439.5,9450,9358.6,9379.05,206299256
NIFTYPSE,20240802,11587.45,11641.05,11453.05,11530.3,287568002
NIFTYSERVSECTOR,20240802,31370,31588.9,31361.55,31439.8,581975428
Nifty50 Shariah,20240802,-,-,-,5397.41,53305808
Nifty500 Shariah,20240802,-,-,-,7831.68,518319717
Nifty Low Volatility 50,20240802,-,-,-,24946.16,197023351
Nifty Alpha 50,20240802,58623.8,59165.95,58319.7,58809.9,898624549
Nifty High Beta 50,20240802,-,-,-,4248.61,1264134854
Nifty100 Equal Weight,20240802,34083.3,34237.85,33929.9,33981.9,1072933323
Nifty100 Liquid 15,20240802,6911.2,6912.25,6853.15,6869.15,153475206
NIFTYCPSE,20240802,7542.1,7582.15,7471.05,7510.15,169210823
Nifty50 Value 20,20240802,14019.6,14067.4,13905.85,13917.95,223516322
NIFTYMIDCAPLIQ15,20240802,13532.85,13628.6,13468,13507.15,68267062
Nifty Shariah 25,20240802,-,-,-,9052.9,97452975
INDIAVIX,20240802,12.93,14.51,11.6925,14.32,-
Nifty Growth Sectors 15,20240802,12220.85,12306.45,12130.25,12146.1,63896064
Nifty50 TR 1x Inverse,20240802,164.55,165.2,164.15,165.05,-
Nifty50 TR 2x Leverage,20240802,21289.4,21397.55,21114.85,21165.85,-
Nifty50 PR 1x Inverse,20240802,197.95,198.7,197.45,198.5,-
Nifty50 PR 2x Leverage,20240802,14684.65,14759.35,14564.25,14599.4,-
NIFTY100 Quality 30,20240802,5950.35,5982.25,5906,5912.25,126255422
Nifty India Corporate Group Index - Mahindra Group,20240802,-,-,-,31935.85,8572333
Nifty500 Equal Weight,20240802,-,-,-,14764.49,3092360383
Nifty India Corporate Group Index - Tata Group,20240802,-,-,-,19592.6,169039656
Nifty India Corporate Group Index - Tata Group 25% Cap,20240802,17784.65,17807.7,17517,17542.45,134407365
NIFTYPVTBANK,20240802,25501.4,25732.4,25460.1,25612.05,104060692
NIFTYSMALLCAP250,20240802,17636.75,17794.55,17551.25,17677.65,692936135
NIFTYSMALLCAP50,20240802,8768.5,8848.7,8714.65,8774.95,206062606
Nifty MidSmallcap 400,20240802,20146.3,20280.05,20045.95,20158.6,2019427060
NSEMIDCAP150,20240802,21499.2,21617.45,21387.25,21492.25,1326490925
Nifty IPO,20240802,-,-,-,2198.46,80060135
Nifty Midcap Select,20240802,12730.45,12768.15,12594.05,12625.05,555008484
NIFTY LargeMidcap 250,20240802,16269.05,16341.45,16208.45,16246.95,2399424248
NIFTY SME EMERGE,20240802,-,-,-,14777.84,-
Nifty Oil & Gas,20240802,13188.75,13256.75,13050,13137.45,126035847
Nifty Financial Services 25/50,20240802,25670.55,25874.75,25615.5,25725.5,105305862
Nifty Healthcare Index,20240802,13695.4,13896.2,13630.25,13837.3,23903560
Nifty500 Multicap 50:25:25,20240802,16255.55,16338,16197.1,16244.05,3092360383
Nifty Microcap 250,20240802,24364.65,24707.7,24284.85,24591.0,600176167
Nifty Total Market,20240802,13119.75,13177.6,13080.05,13104.35,3692536550
Nifty India Digital,20240802,8936.05,9077,8929.45,9023.9,955435629
Nifty Mobility,20240802,-,-,-,22157.32,534806146
Nifty India Defence,20240802,-,-,-,7409.75,35807165
Nifty Financial Services Ex-Bank,20240802,-,-,-,25361.19,130303316
Nifty Housing,20240802,-,-,-,11861.42,615197290
Nifty Transportation & Logistics,20240802,-,-,-,24873.42,505047963
Nifty MidSmall Financial Services,20240802,-,-,-,14789.21,370316091
Nifty MidSmall Healthcare,20240802,38465.55,38920.6,38227.75,38756.95,29895026
Nifty MidSmall IT & Telecom,20240802,-,-,-,10880.17,546674394
Nifty MidSmall India Consumption,20240802,-,-,-,18785.88,69810957
Nifty REITs & InvITs,20240802,-,-,-,1127.02,2300760
Nifty Core Housing,20240802,-,-,-,16978.95,30077025
Nifty500 Multicap Infrastructure 50:30:20,20240802,14869.7,14911.5,14750.4,14793.25,822744824
Nifty Rural,20240802,-,-,-,15344.11,833230525
Nifty Consumer Durables,20240802,39193.8,39446.7,39082.1,39237.2,11011016
Nifty Non-Cyclical Consumer,20240802,-,-,-,16449.99,488977457
Nifty500 Multicap India Manufacturing 50:30:20,20240802,15399.5,15436.95,15268.25,15298.05,316276067
Nifty EV & New Age Automotive,20240802,-,-,-,3311.49,83895460
Nifty500 LargeMidSmall Equal-Cap Weighted,20240802,-,-,-,17960.34,3092360383
Nifty India Tourism,20240802,-,-,-,8628.24,69739956
NIFTY100 Alpha 30,20240802,-,-,-,20901.08,693380397
NIFTY500 Value 50,20240802,-,-,-,15296.33,593434348
Nifty100 Low Volatility 30,20240802,20086.4,20207.7,20053.85,20074.9,123832136
NIFTY Alpha Low-Volatility 30,20240802,29653.8,29745.65,29506.2,29546.15,155572391
NIFTY Quality Low-Volatility 30,20240802,-,-,-,18158.31,95071685
NIFTY Alpha Quality Low-Volatility 30,20240802,-,-,-,24490.79,102800340
NIFTY Alpha Quality Value Low-Volatility 30,20240802,-,-,-,21922.35,177836404
NIFTY200 Quality 30,20240802,22037.75,22166.3,21911.65,21931.0,94104907
NIFTY Midcap150 Quality 50,20240802,25165.9,25220.2,24988.45,25024.4,29697419
Nifty200 Momentum 30,20240802,36322.9,36415.75,35908.5,35950.7,245671452
Nifty India Manufacturing,20240802,14946.65,14982.55,14809.25,14851.6,411332002
Nifty100 ESG Sector Leaders,20240802,4124.65,4137.75,4109.3,4114.35,751119797
Nifty200 Alpha 30,20240802,28470.75,28664.7,28251.45,28277.35,742694793
Nifty Midcap150 Momentum 50,20240802,64553.45,64824.1,64098.45,64203.2,217207019
Nifty Smallcap250 Quality 50,20240802,-,-,-,28967.95,136581432
Nifty Smallcap250 Momentum Quality 100,20240802,-,-,-,52697.52,310210195
Nifty MidSmallcap400 Momentum Quality 100,20240802,-,-,-,53697.4,246510321
Nifty500 Momentum 50,20240802,-,-,-,62221.94,468088624
Nifty200 Value 30,20240802,-,-,-,14030.07,421057888
Nifty Top 10 Equal Weight,20240802,-,-,-,9473.33,87536853
NIFTY100 ESG,20240802,4954.85,4968.8,4931.35,4936.8,992919117
NIFTY100 Enhanced ESG,20240802,-,-,-,4973.42,992458498
NIFTY50 Equal Weight,20240802,31743.2,31790.15,31551.9,31587.15,345027881
Nifty India Corporate Group Index - Aditya Birla Group,20240802,-,-,-,8576.06,495976747
