AARTIIND-I,20240802,738.4,752.5,732.95,741.65,3059
AARTIIND-II,20240802,737.55,756.85,737.55,746.3,191
AARTIIND-III,20240802,754.25,760.9,754.05,754.05,6
ABB-I,20240802,7754.9,7803.9,7580.0,7601.35,3316
ABB-II,20240802,7741.5,7847.8,7640.0,7650.4,135
ABB-III,20240802,7775.55,7800.0,7700.0,7702.2,7
ABBOTINDIA-I,20240802,28411.7,28845.35,28234.3,28307.6,1232
ABBOTINDIA-II,20240802,28443.0,29046.2,28443.0,28524.55,60
ABBOTINDIA-III,20240802,0.0,0.0,0.0,28604.0,0
ABCAPITAL-I,20240802,217.0,217.79,211.3,212.17,8323
ABCAPITAL-II,20240802,218.0,219.09,212.96,213.62,1227
ABCAPITAL-III,20240802,218.18,220.53,214.8,215.19,89
ABFRL-I,20240802,334.9,344.4,330.8,336.6,5647
ABFRL-II,20240802,332.95,342.95,330.0,335.6,228
ABFRL-III,20240802,330.0,338.1,330.0,335.9,8
ACC-I,20240802,2484.9,2488.3,2438.7,2442.95,4549
ACC-II,20240802,2490.95,2502.0,2459.0,2460.0,331
ACC-III,20240802,2505.35,2511.0,2476.0,2477.75,27
ADANIENT-I,20240802,3204.0,3237.0,3124.95,3181.35,25470
ADANIENT-II,20240802,3225.85,3256.05,3148.0,3202.1,1599
ADANIENT-III,20240802,3250.05,3281.25,3175.0,3225.65,259
ADANIPORTS-I,20240802,1583.55,1608.0,1554.3,1594.8,24278
ADANIPORTS-II,20240802,1579.7,1618.9,1565.85,1605.4,1298
ADANIPORTS-III,20240802,1595.25,1627.0,1575.85,1617.1,143
ALKEM-I,20240802,5245.95,5369.9,5220.0,5325.9,2338
ALKEM-II,20240802,5300.0,5388.0,5258.9,5353.25,51
ALKEM-III,20240802,5371.05,5371.05,5371.05,5371.05,1
AMBUJACEM-I,20240802,661.0,665.0,649.95,656.6,7490
AMBUJACEM-II,20240802,657.9,668.55,655.7,660.55,380
AMBUJACEM-III,20240802,670.45,673.0,661.05,666.4,77
APOLLOHOSP-I,20240802,6723.35,6805.0,6696.1,6722.8,4274
APOLLOHOSP-II,20240802,6765.0,6846.45,6753.3,6764.9,134
APOLLOHOSP-III,20240802,6850.0,6885.0,6800.0,6815.75,5
APOLLOTYRE-I,20240802,541.95,546.65,530.05,532.5,6848
APOLLOTYRE-II,20240802,531.75,542.95,526.65,528.7,364
APOLLOTYRE-III,20240802,534.0,541.0,525.35,526.35,38
ASHOKLEY-I,20240802,251.0,253.95,245.1,250.9,6492
ASHOKLEY-II,20240802,246.9,255.1,246.9,252.5,384
ASHOKLEY-III,20240802,249.8,256.4,249.8,254.25,43
ASIANPAINT-I,20240802,3090.15,3147.0,3072.5,3119.6,12582
ASIANPAINT-II,20240802,3100.0,3160.0,3092.35,3133.1,480
ASIANPAINT-III,20240802,3129.65,3173.7,3123.0,3151.0,113
ASTRAL-I,20240802,2160.1,2181.8,2132.85,2136.05,2388
ASTRAL-II,20240802,2181.65,2185.85,2140.1,2142.7,110
ASTRAL-III,20240802,2181.95,2181.95,2138.6,2150.9,9
ATUL-I,20240802,7820.05,7950.0,7706.45,7812.3,2180
ATUL-II,20240802,7777.65,7956.05,7777.65,7834.25,319
ATUL-III,20240802,7950.0,7959.95,7852.75,7863.0,10
AUBANK-I,20240802,638.85,651.05,635.75,639.3,6879
AUBANK-II,20240802,633.0,643.45,630.0,632.9,583
AUBANK-III,20240802,631.0,639.6,626.4,629.05,64
AUROPHARMA-I,20240802,1433.95,1455.7,1424.0,1447.2,3373
AUROPHARMA-II,20240802,1444.5,1463.6,1441.05,1454.9,113
AUROPHARMA-III,20240802,1458.55,1470.0,1458.5,1461.65,9
AXISBANK-I,20240802,1164.0,1171.5,1160.7,1164.6,22952
AXISBANK-II,20240802,1175.0,1178.95,1169.0,1172.55,548
AXISBANK-III,20240802,1180.15,1187.0,1178.0,1180.9,162
BAJAJ-AUTO-I,20240802,9723.6,9769.35,9622.65,9638.8,5839
BAJAJ-AUTO-II,20240802,9741.95,9811.85,9681.0,9694.45,141
BAJAJ-AUTO-III,20240802,9805.45,9805.45,9740.0,9750.0,5
BAJAJFINSV-I,20240802,1626.7,1634.55,1612.0,1628.15,4549
BAJAJFINSV-II,20240802,1640.0,1644.0,1623.0,1638.55,160
BAJAJFINSV-III,20240802,1640.35,1653.35,1635.0,1649.65,19
BAJFINANCE-I,20240802,6800.0,6800.0,6692.6,6746.75,12365
BAJFINANCE-II,20240802,6790.0,6830.5,6745.0,6794.5,740
BAJFINANCE-III,20240802,6851.0,6875.0,6806.5,6846.8,125
BALKRISIND-I,20240802,3320.0,3379.7,3260.0,3304.3,2053
BALKRISIND-II,20240802,3354.0,3392.7,3317.0,3320.75,119
BALKRISIND-III,20240802,3363.05,3392.0,3338.45,3338.45,10
BALRAMCHIN-I,20240802,483.3,494.65,476.35,484.0,3845
BALRAMCHIN-II,20240802,481.4,497.5,481.35,487.15,146
BALRAMCHIN-III,20240802,0.0,0.0,0.0,492.95,0
BANDHANBNK-I,20240802,210.41,214.25,208.6,211.62,8920
BANDHANBNK-II,20240802,211.86,215.45,210.02,212.97,632
BANDHANBNK-III,20240802,213.0,216.5,211.8,214.54,123
BANKBARODA-I,20240802,250.4,250.4,243.6,244.85,15758
BANKBARODA-II,20240802,251.5,251.5,245.4,246.55,904
BANKBARODA-III,20240802,252.0,252.25,247.4,248.45,178
BANKNIFTY-I,20240802,51405.0,51736.9,51151.6,51429.3,156717
BANKNIFTY-II,20240802,51887.9,52010.0,51556.0,51736.15,7726
BANKNIFTY-III,20240802,52000.0,52300.0,51857.85,52027.45,2411
BATAINDIA-I,20240802,1616.0,1616.0,1582.3,1596.75,3996
BATAINDIA-II,20240802,1620.0,1620.0,1586.95,1596.85,456
BATAINDIA-III,20240802,1600.0,1608.05,1594.0,1600.55,64
BEL-I,20240802,306.35,309.8,302.15,303.05,13447
BEL-II,20240802,307.05,311.75,304.05,305.05,1517
BEL-III,20240802,308.5,314.05,306.55,307.45,172
BERGEPAINT-I,20240802,545.8,555.45,544.8,549.3,1010
BERGEPAINT-II,20240802,552.45,554.9,549.15,550.15,135
BERGEPAINT-III,20240802,551.7,557.0,551.7,554.85,4
BHARATFORG-I,20240802,1717.05,1717.05,1655.0,1659.95,5759
BHARATFORG-II,20240802,1698.55,1717.4,1668.0,1669.05,265
BHARATFORG-III,20240802,1720.0,1720.0,1678.15,1679.55,23
BHARTIARTL-I,20240802,1494.85,1502.75,1480.9,1493.05,19892
BHARTIARTL-II,20240802,1511.3,1511.3,1491.2,1502.05,263
BHARTIARTL-III,20240802,1515.0,1515.0,1502.5,1513.65,13
BHEL-I,20240802,307.0,311.2,301.05,302.1,11456
BHEL-II,20240802,309.0,312.95,303.5,304.1,737
BHEL-III,20240802,312.0,314.85,305.3,306.3,118
BIOCON-I,20240802,352.65,364.0,349.2,357.8,5241
BIOCON-II,20240802,353.4,366.2,351.8,360.05,441
BIOCON-III,20240802,359.35,366.65,354.5,363.05,33
BOSCHLTD-I,20240802,33993.65,34389.95,33618.35,33764.2,3417
BOSCHLTD-II,20240802,33703.95,34021.9,33229.95,33384.65,239
BOSCHLTD-III,20240802,0.0,0.0,0.0,33859.05,0
BPCL-I,20240802,346.25,352.45,341.1,347.65,12861
BPCL-II,20240802,347.8,354.0,343.5,349.85,520
BPCL-III,20240802,350.1,355.9,346.4,352.5,76
BRITANNIA-I,20240802,5630.0,5755.0,5579.95,5668.7,13602
BRITANNIA-II,20240802,5633.3,5786.9,5622.2,5716.35,345
BRITANNIA-III,20240802,5735.25,5780.95,5680.0,5757.5,47
BSOFT-I,20240802,634.95,638.9,600.5,609.4,1504
BSOFT-II,20240802,639.0,644.55,611.8,613.1,111
BSOFT-III,20240802,624.0,629.1,624.0,624.5,3
CANBK-I,20240802,111.99,112.49,110.38,110.76,7869
CANBK-II,20240802,111.61,113.2,111.25,111.51,513
CANBK-III,20240802,112.56,113.65,112.11,112.38,83
CANFINHOME-I,20240802,824.55,844.95,817.25,835.95,2296
CANFINHOME-II,20240802,829.25,844.6,820.0,836.25,116
CANFINHOME-III,20240802,842.15,842.15,842.15,842.15,1
CHAMBLFERT-I,20240802,515.8,538.8,511.4,524.6,11772
CHAMBLFERT-II,20240802,516.2,538.0,513.3,521.2,1080
CHAMBLFERT-III,20240802,530.0,534.6,518.6,519.1,77
CHOLAFIN-I,20240802,1386.05,1415.6,1374.45,1390.4,3455
CHOLAFIN-II,20240802,1391.4,1422.8,1385.55,1398.8,86
CHOLAFIN-III,20240802,1403.55,1428.1,1403.55,1421.45,5
CIPLA-I,20240802,1548.4,1548.4,1530.25,1534.2,3599
CIPLA-II,20240802,1541.6,1554.0,1540.0,1544.35,113
CIPLA-III,20240802,1557.3,1560.4,1553.7,1554.8,5
COALINDIA-I,20240802,531.6,535.0,519.05,520.85,12203
COALINDIA-II,20240802,535.0,538.3,523.0,524.5,732
COALINDIA-III,20240802,538.95,541.3,526.35,528.05,127
COFORGE-I,20240802,6227.85,6241.35,6090.0,6107.85,4691
COFORGE-II,20240802,6230.75,6230.75,6069.95,6085.1,384
COFORGE-III,20240802,6186.0,6194.2,6081.0,6080.95,28
COLPAL-I,20240802,3371.5,3431.65,3366.0,3378.15,2143
COLPAL-II,20240802,3417.85,3443.75,3385.0,3396.05,98
COLPAL-III,20240802,3434.0,3434.0,3400.0,3402.0,3
CONCOR-I,20240802,1027.4,1042.55,1020.0,1029.55,4202
CONCOR-II,20240802,1028.2,1046.95,1026.0,1034.35,241
CONCOR-III,20240802,1043.4,1051.0,1035.05,1042.2,24
COROMANDEL-I,20240802,1608.1,1645.35,1608.1,1632.6,1220
COROMANDEL-II,20240802,1602.55,1627.25,1598.55,1614.45,175
COROMANDEL-III,20240802,1609.55,1618.4,1604.05,1607.6,11
CROMPTON-I,20240802,448.1,453.8,439.0,440.0,3292
CROMPTON-II,20240802,445.6,456.55,442.45,443.25,149
CROMPTON-III,20240802,454.1,454.1,445.5,446.1,16
CUB-I,20240802,168.3,170.75,166.0,166.17,1514
CUB-II,20240802,169.15,171.83,167.18,167.34,96
CUB-III,20240802,171.0,172.16,169.5,169.5,20
CUMMINSIND-I,20240802,3730.1,3734.35,3495.9,3517.75,21692
CUMMINSIND-II,20240802,3737.0,3737.0,3518.4,3535.0,984
CUMMINSIND-III,20240802,3651.9,3651.9,3547.3,3553.15,65
DABUR-I,20240802,641.65,652.45,629.0,630.65,6160
DABUR-II,20240802,648.0,656.5,633.55,634.75,198
DABUR-III,20240802,641.65,641.65,641.65,641.65,1
DALBHARAT-I,20240802,1805.05,1832.95,1791.0,1806.2,2513
DALBHARAT-II,20240802,1819.95,1840.0,1808.0,1814.65,156
DALBHARAT-III,20240802,1830.6,1849.75,1819.0,1826.45,12
DEEPAKNTR-I,20240802,3095.0,3135.9,3048.6,3103.9,4141
DEEPAKNTR-II,20240802,3075.0,3128.4,3045.75,3092.7,341
DEEPAKNTR-III,20240802,3070.0,3127.0,3060.0,3102.2,17
DIVISLAB-I,20240802,4855.6,5004.9,4830.45,4956.1,13069
DIVISLAB-II,20240802,4911.2,5032.4,4863.3,4971.0,728
DIVISLAB-III,20240802,4930.0,5052.0,4930.0,5001.75,92
DIXON-I,20240802,11624.7,11888.0,11473.35,11702.8,8119
DIXON-II,20240802,11688.5,11946.4,11594.9,11770.1,473
DIXON-III,20240802,11770.0,12001.0,11740.0,11840.85,49
DLF-I,20240802,866.5,869.4,844.5,846.95,13905
DLF-II,20240802,867.8,875.25,850.55,852.75,451
DLF-III,20240802,874.0,879.45,858.0,859.15,40
DRREDDY-I,20240802,6909.0,6978.1,6895.05,6946.65,6591
DRREDDY-II,20240802,6911.15,6995.0,6911.15,6957.4,681
DRREDDY-III,20240802,7000.0,7020.0,6962.0,6978.85,21
EICHERMOT-I,20240802,4846.25,4854.85,4658.95,4676.6,12348
EICHERMOT-II,20240802,4870.0,4870.0,4683.5,4697.0,459
EICHERMOT-III,20240802,4849.5,4873.75,4713.55,4723.45,53
ESCORTS-I,20240802,4135.0,4135.0,3906.1,3919.0,5595
ESCORTS-II,20240802,4082.85,4135.75,3937.0,3942.0,330
ESCORTS-III,20240802,4075.45,4137.5,3968.4,3970.55,14
EXIDEIND-I,20240802,512.4,521.9,506.25,510.4,4850
EXIDEIND-II,20240802,512.15,525.6,510.95,514.25,316
EXIDEIND-III,20240802,516.35,528.0,516.1,518.05,34
FEDERALBNK-I,20240802,199.98,200.2,197.02,197.54,5397
FEDERALBNK-II,20240802,200.14,201.25,198.3,198.76,365
FEDERALBNK-III,20240802,200.06,202.0,199.35,200.02,97
FINNIFTY-I,20240802,23331.05,23544.0,23313.95,23398.0,2156
FINNIFTY-II,20240802,23465.05,23663.35,23458.65,23545.85,250
FINNIFTY-III,20240802,0.0,0.0,0.0,23766.05,0
GAIL-I,20240802,236.26,240.26,232.86,237.7,7070
GAIL-II,20240802,236.78,241.85,235.0,239.27,274
GAIL-III,20240802,240.04,243.18,237.77,241.07,41
GLENMARK-I,20240802,1430.55,1458.4,1424.8,1449.35,1694
GLENMARK-II,20240802,1441.4,1465.05,1438.0,1456.1,89
GLENMARK-III,20240802,0.0,0.0,0.0,1455.0,0
GMRINFRA-I,20240802,98.61,101.36,97.71,98.32,6595
GMRINFRA-II,20240802,99.31,101.86,98.44,99.0,403
GMRINFRA-III,20240802,100.8,102.33,99.38,99.88,78
GNFC-I,20240802,692.7,704.9,675.8,680.65,773
GNFC-II,20240802,703.0,706.95,681.7,683.85,27
GNFC-III,20240802,0.0,0.0,0.0,715.7,0
GODREJCP-I,20240802,1469.9,1483.85,1438.9,1448.5,5619
GODREJCP-II,20240802,1470.8,1487.15,1444.0,1449.6,429
GODREJCP-III,20240802,1486.55,1486.55,1454.15,1454.15,5
GODREJPROP-I,20240802,3109.0,3145.0,2997.55,3012.15,11010
GODREJPROP-II,20240802,3137.25,3160.0,3020.9,3032.25,385
GODREJPROP-III,20240802,3119.7,3126.35,3046.5,3051.7,54
GRANULES-I,20240802,628.0,652.0,628.0,646.8,381
GRANULES-II,20240802,634.65,653.25,633.5,651.05,15
GRANULES-III,20240802,643.1,656.0,643.1,656.0,7
GRASIM-I,20240802,2753.7,2762.8,2705.15,2708.6,6098
GRASIM-II,20240802,2775.0,2775.0,2720.0,2722.3,67
GRASIM-III,20240802,2752.85,2752.85,2731.45,2733.75,6
GUJGASLTD-I,20240802,645.3,661.0,639.6,655.3,2485
GUJGASLTD-II,20240802,634.5,649.25,628.8,644.0,153
GUJGASLTD-III,20240802,636.85,636.85,629.85,629.85,3
HAL-I,20240802,4760.3,4785.75,4644.8,4706.6,13946
HAL-II,20240802,4800.05,4815.65,4677.65,4740.25,1873
HAL-III,20240802,4875.0,4880.0,4706.45,4773.7,312
HAVELLS-I,20240802,1827.0,1845.0,1815.1,1826.85,2728
HAVELLS-II,20240802,1838.4,1855.55,1830.0,1838.05,85
HAVELLS-III,20240802,1864.85,1866.45,1864.85,1866.45,2
HCLTECH-I,20240802,1628.8,1645.25,1609.65,1614.55,9584
HCLTECH-II,20240802,1636.25,1653.95,1617.55,1622.2,256
HCLTECH-III,20240802,1640.3,1647.25,1621.75,1622.9,17
HDFCAMC-I,20240802,4150.7,4184.05,4111.8,4135.2,4771
HDFCAMC-II,20240802,4183.9,4205.6,4150.0,4160.4,139
HDFCAMC-III,20240802,4207.85,4214.55,4173.6,4179.3,9
HDFCBANK-I,20240802,1639.95,1677.45,1637.55,1664.5,103309
HDFCBANK-II,20240802,1658.7,1682.5,1647.0,1670.4,4713
HDFCBANK-III,20240802,1665.0,1692.0,1655.95,1678.8,594
HDFCLIFE-I,20240802,710.0,716.6,703.3,710.0,5666
HDFCLIFE-II,20240802,715.0,720.95,708.2,714.7,291
HDFCLIFE-III,20240802,719.5,725.2,713.0,719.25,35
HEROMOTOCO-I,20240802,5375.5,5399.95,5261.65,5297.15,11518
HEROMOTOCO-II,20240802,5355.25,5430.0,5300.0,5330.3,405
HEROMOTOCO-III,20240802,5377.8,5450.25,5340.45,5371.25,44
HINDALCO-I,20240802,661.15,665.2,645.15,647.05,11807
HINDALCO-II,20240802,665.0,669.5,649.85,651.45,554
HINDALCO-III,20240802,665.0,673.7,655.0,656.05,53
HINDCOPPER-I,20240802,315.95,317.2,308.75,310.9,3034
HINDCOPPER-II,20240802,315.2,317.5,310.6,312.2,323
